Registration Series,Registration Zone / City
HP-66,Kullu
HP-67,Hamirpur
HP-68,Dharamshala
HP-69,Bilaspur
HP-71,Nahan
HP-72,Una
HP-73,Chamba
HP-74,Bhoranj
HP-76,Paddhar
HR-01,Ambala
HR-02,Yamuna Nagar
HR-03,Panchkula
HR-04,Naraingarh
HR-05,Karnal
HR-06,Panipat
HR-07,Kurukshetra
HR-08,Kaithal
HR-09,Guhla
HR-10,Sonepat
HR-11,Gohana
HR-12,Rohtak
HR-13,Bahadurgarh
HR-14,Jhajjar
HR-15,Meham
HR-16,Bhiwani
HR-17,Siwani
HR-18,Loharu
HR-19,Charkhi Dadri
HR-20,Hisar
HR-21,Hansi
HR-22,Fatehabad
HR-23,Tohana
HR-24,Sirsa
HR-25,Dabwali
HR-26,Gurgaon
HR-27,Nuh
HR-28,Ferozepur Jhirka
HR-29,Ballabgarh
HR-30,Palwal
HR-31,Jind
HR-32,Narwana
HR-33,Safidon
HR-34,Mohindergarh
HR-35,Narnaul
HR-36,Rewari
HR-37,Ambala
HR-38,Farida
HR-39,Hisar
HR-40,Assandh
HR-41,Pehowa
HR-42,Ganaur
HR-43,Kosli
HR-44,Ellenabad
HR-45,Karnal
HR-46,Rohtak
HR-47,Rewari
HR-48,Tosham
HR-49,Kalka
HR-50,Hodal
HR-51,Faridabad
HR-52,Hatin
HR-53,Adampur
HR-54,Ambala - Barara
HR-55,Gurgaon
HR-56,Jind
HR-57,Sirsa
HR-58,"Jagadhari, Yamuna Nagar"
HR-59,Ratia
HR-60,Samalkha
HR-61,Bhiwani
HR-62,Fatehabad
HR-63,Jhajjar
HR-64,Kaithal
HR-65,Kurukshetra
HR-66,Narnaul
HR-67,Panipat
HR-68,Panchkula
HR-69,Sonipat
HR-70,VIP Series of Transport Commissioner in Chandigarh
HR-71,Bilaspur
HR-72,Gurgaon
HR-73,Palwal
HR-74,Mewat
HR-75,Indri
HR-76,Pataudi
HR-77,Beri
HR-78,Sahabad
HR-79,Kharkhoda
HR-80,Barwala
HR-86,Sonipat
HR-88,Kundli
JH-01,Ranchi
JH-02,Hazaribagh
JH-03,Daltonganj
JH-04,Dumka
JH-05,Jamshedpur
JH-06,Chaibasa
JH-07,Gumla
JH-08,Lohardaga
JH-09,Bokaro Steel City
JH-10,Dhanbad
JH-11,Giridih
JH-12,Koderma
JH-13,Chatra
JH-14,Garhwa
JH-15,Deoghar
JH-16,Pakur
JH-17,Godda
JH-18,Sahibganj
JH-19,Latehar
JH-20,Simdega
JH-21,Jamtara
JH-22,Saraikela-Kharsawan
JK-01,Srinagar
JK-02,Jammu
JK-03,Anantnag
JK-04,Budgam
JK-05,Baramulla
JK-06,Doda
JK-07,Kargil
JK-08,Kathua
JK-09,Kupwara
JK-10,Leh
JK-11,Rajouri
JK-12,Poonch
JK-13,Pulwama
JK-14,Udhampur
JK-15,Bandipora
JK-16,Ganderbal
JK-17,Kishtwar
JK-18,Kulgam
JK-19,Ramban
JK-20,Reasi
JK-21,Samba
JK-22,Shopian
KA-01,Bangalore Central: Koramangala 
KA-02,Bangalore West: Rajajinagar
KA-03,Bangalore East: Indiranagar 
KA-04,Bangalore North: Yeshwanthpur
KA-05,Bangalore South: Jayanagar
KA-06,Tumkur
KA-07,Kolar
KA-08,Kolar Gold Fields (KGF)
KA-09,Mysore West
KA-10,Chamrajnagar
KA-11,Mandya
KA-12,Madikeri
KA-13,Hassan
KA-14,Shimoga
KA-15,Sagara
KA-16,Chitradurga
KA-17,Davangere
KA-18,Chickmagalur
KA-19,Mangalore
KA-20,Udupi
KA-21,Puttur
KA-22,Belgaum
KA-23,Chikkodi
KA-24,Bailhongal
KA-25,Dharwad
KA-26,Gadag
KA-27,Haveri
KA-28,Bijapur
KA-29,Bagalkot
KA-30,Karwar
KA-31,Sirsi
KA-32,Gulbarga
KA-33,Yadgir
KA-34,Bellary
KA-35,Hospet
KA-36,Raichur
KA-37,Koppal
KA-38,Bidar
KA-39,Bhalki
KA-40,Chikkaballapur
KA-41,Bangalore Western
KA-42,Ramanagara
KA-43,Bengaluru International Airport
KA-44,Tiptur
KA-45,Hunsur
KA-46,Sakleshpur
KA-47,Honnavar
KA-48,Jamkhandi
KA-49,Gokak
KA-50,Bangalore Northern 
KA-51,Bangalore Southern 
KA-52,Nelamangala
KA-53,Bangalore Eastern 
KA-54,Nagamangala
KA-55,Mysore East
KA-56,Basavakalyan
KA-57,Shantinagar
KL-01,Thiruvananthapuram
KL-02,Kollam
KL-03,Pathanamthitta
KL-04,Alappuzha
KL-05,Kottayam
KL-06,Idukki
KL-07,Ernakulam
KL-08,Thrissur
KL-09,Palakkad
KL-10,Malappuram
KL-11,Kozhikode
KL-12,Wayanad
KL-13,Kannur
KL-14,Kasargode
KL-15,Kerala State Road Transport Corporation buses
KL-16,Attingal
KL-17,Muvattupuzha
KL-18,Vadakara
KL-19,Parassala
KL-20,Neyyattinkara
KL-21,Nedumangad
KL-22,Thiruvananthapuram
KL-23,Karunagapally
KL-24,Kottarakara
KL-25,Punalur
KL-26,Adoor
KL-27,Thiruvalla
KL-28,Mallappally
KL-29,Kayamkulam
KL-30,Chengannur
KL-31,Mavelikara
KL-32,Cherthala
KL-33,Changanassery
KL-34,Kanjirappally
KL-35,Pala
KL-36,Vaikom
KL-37,Vandiperiyar
KL-38,Thodupuzha
KL-39,Thripunithura
KL-40,Perumbavoor
KL-41,Aluva
KL-42,North Paravur
KL-43,Mattancherry
KL-44,Kothamangalam
KL-45,Irinjalakuda
KL-46,Guruvayur
KL-47,Kodungallur
KL-48,Wadakkancherry
KL-49,Alathur
KL-50,Mannarghat
KL-51,Ottappalam
KL-52,Pattambi
KL-53,Perinthalmanna
KL-54,Ponnani
KL-55,Tirur
KL-56,Koyilandi
KL-57,Koduvally
KL-58,Thalassery
KL-59,Thaliparamba
KL-60,Kanhangad
KL-61,Kunnathur
KL-62,Ranni
KL-63,Angamaly
KL-64,Chalakkudy
KL-65,Thirurangadi
KL-66,Kuttanadu
KL-67,Uzhavoor
KL-68,Devikulam
KL-69,Udumbanchola
KL-70,Chittur
KL-71,Nilambur
KL-72,Mananthavady
KL-73,Sulthan Bathery
LD-01,Kavaratti
LD-02,Agatti
LD-03,Amini
LD-04,Androth
LD-05,Kadmat
LD-06,Kiltan
LD-07,Chetlat
LD-08,Kalpeni
LD-09,Minicoy
MH-01,Tardeo
MH-02,Andheri
MH-03,Ghatkopar
MH-04,Thane
MH-05,Kalyan
MH-06,Raigad
